Server,ServiceName,Status,StartType,Healthy
CONTOSO-DC01.contoso.local,NTDS,Running,Automatic,True
CONTOSO-DC01.contoso.local,DNS,Running,Automatic,True
CONTOSO-DC01.contoso.local,Netlogon,Running,Automatic,True
CONTOSO-DC01.contoso.local,Kdc,Running,Automatic,True
CONTOSO-DC01.contoso.local,W32Time,Running,Automatic,True
CONTOSO-DC01.contoso.local,DFSR,Running,Automatic,True
CONTOSO-DC02.contoso.local,NTDS,Running,Automatic,True
CONTOSO-DC02.contoso.local,DNS,Running,Automatic,True
CONTOSO-DC02.contoso.local,Netlogon,Running,Automatic,True
CONTOSO-DC02.contoso.local,Kdc,Running,Automatic,True
CONTOSO-DC02.contoso.local,W32Time,Running,Automatic,True
CONTOSO-DC02.contoso.local,DFSR,Running,Automatic,True
CONTOSO-DC03.contoso.local,NTDS,Running,Automatic,True
CONTOSO-DC03.contoso.local,DNS,Running,Automatic,True
CONTOSO-DC03.contoso.local,Netlogon,Running,Automatic,True
CONTOSO-DC03.contoso.local,Kdc,Running,Automatic,True
CONTOSO-DC03.contoso.local,W32Time,Running,Automatic,True
CONTOSO-DC03.contoso.local,DFSR,Running,Automatic,True
EMEA-DC01.emea.contoso.local,NTDS,Running,Automatic,True
EMEA-DC01.emea.contoso.local,DNS,Running,Automatic,True
EMEA-DC01.emea.contoso.local,Netlogon,Running,Automatic,True
EMEA-DC01.emea.contoso.local,Kdc,Running,Automatic,True
EMEA-DC01.emea.contoso.local,W32Time,Running,Automatic,True
EMEA-DC01.emea.contoso.local,DFSR,Running,Automatic,True
